ID,pr_id,action,approverRole,approvedBy,comments,valueAtTime,createdAt,createdBy,modifiedAt,modifiedBy
77777777-7777-7777-7777-000000000001,55555555-5555-5555-5555-000000000001,S,Requester,jsmith,Submitted for automatic approval,800.00,2025-09-01T08:30:00Z,jsmith,2025-09-01T08:30:00Z,jsmith
77777777-7777-7777-7777-000000000002,55555555-5555-5555-5555-000000000001,A,SYSTEM,SYSTEM,Auto-approved - value below threshold,800.00,2025-09-01T08:30:01Z,SYSTEM,2025-09-01T08:30:01Z,SYSTEM
77777777-7777-7777-7777-000000000003,55555555-5555-5555-5555-000000000002,S,Requester,msilva,Submitted for Department Manager approval,3200.00,2025-09-02T09:30:00Z,msilva,2025-09-02T09:30:00Z,msilva
77777777-7777-7777-7777-000000000004,55555555-5555-5555-5555-000000000002,A,DepartmentManager,jmanager,Approved - regular supply order,3200.00,2025-09-02T14:00:00Z,jmanager,2025-09-02T14:00:00Z,jmanager
77777777-7777-7777-7777-000000000005,55555555-5555-5555-5555-000000000003,S,Requester,jsmith,Critical - urgent line stoppage,28500.00,2025-09-03T10:30:00Z,jsmith,2025-09-03T10:30:00Z,jsmith
77777777-7777-7777-7777-000000000006,55555555-5555-5555-5555-000000000004,S,Requester,aferreira,Submitted for Purchasing Manager approval,62000.00,2025-09-04T11:30:00Z,aferreira,2025-09-04T11:30:00Z,aferreira
77777777-7777-7777-7777-000000000007,55555555-5555-5555-5555-000000000004,E,PurchasingManager,pmanager,Escalated to Plant Manager - above 50k threshold,62000.00,2025-09-04T15:00:00Z,pmanager,2025-09-04T15:00:00Z,pmanager
77777777-7777-7777-7777-000000000008,55555555-5555-5555-5555-000000000007,S,Requester,rlopez,Submitted for Department Manager approval,9800.00,2025-09-07T09:30:00Z,rlopez,2025-09-07T09:30:00Z,rlopez
77777777-7777-7777-7777-000000000009,55555555-5555-5555-5555-000000000007,R,DepartmentManager,jmanager,Rejected - supplier not approved for this category,9800.00,2025-09-07T16:00:00Z,jmanager,2025-09-07T16:00:00Z,jmanager
77777777-7777-7777-7777-000000000010,55555555-5555-5555-5555-000000000008,S,Requester,jsmith,Emergency order - immediate approval required,5100.00,2025-09-08T07:30:00Z,jsmith,2025-09-08T07:30:00Z,jsmith
77777777-7777-7777-7777-000000000011,55555555-5555-5555-5555-000000000008,A,DepartmentManager,jmanager,Approved - emergency production requirement,5100.00,2025-09-08T09:00:00Z,jmanager,2025-09-08T09:00:00Z,jmanager
